"","var","cat","value","value2","class"
"1","Sex",0,9519.68347768128,7.27225088966352,"Female"
"2","Sex",1,9190.1180431247,3.55855325851853,"Male"
"3","Birth_Area",0,8179.46686133002,-7.82993748170306,"No"
"4","Birth_Area",1,10941.5305180679,23.2942891014032,"Yes"
"5","Mother_Edu",0,7074.83757764356,-20.2774174780176,"Years of Education"
"6","Mother_Edu",3,8106.97787411028,-8.64677733168377,"Years of Education"
"7","Mother_Edu",6,9878.6129659859,11.3168364277628,"Years of Education"
"8","Mother_Edu",9,10159.3184406973,14.4799571533557,"Years of Education"
"9","Mother_Edu",12,14405.7840126515,62.331119568259,"Years of Education"
"10","Mother_Edu",15,21169.8984471333,138.552328221181,"Years of Education"
"11","Father_Edu",0,7284.26024684468,-17.9175447821243,"Years of Education"
"12","Father_Edu",3,8829.73548253016,-0.502406178524936,"Years of Education"
"13","Father_Edu",6,9473.26884364609,6.7492290603298,"Years of Education"
"14","Father_Edu",9,10112.9624229252,13.9575958395209,"Years of Education"
"15","Father_Edu",12,11531.5458054276,29.9428576260577,"Years of Education"
"16","Father_Edu",15,19613.9580830622,121.019263650778,"Years of Education"
"17","Ethnicity",1,13376.6320041992,50.7341528504969,"Indigenous"
"18","Ethnicity",2,9120.5609394272,2.77475124488122,"Other"
