"","var","cat","value","value2","class"
"1","Sex",0,8530.86074974486,-2.05151581590219,"Female"
"2","Sex",1,8797.91439121051,1.01470459781001,"Male"
"3","Birth_Area",1,7722.8858326659,-11.3284130374425,"Amazonas-San Martin-Ucayali"
"4","Birth_Area",2,9241.32305368996,6.10577426100426,"Anchash"
"5","Birth_Area",3,8066.08099710327,-7.3879611742519,"Apurimac"
"6","Birth_Area",4,10832.1592310553,24.3712221131245,"Arequipa"
"7","Birth_Area",5,8620.01560653553,-1.0278696286686,"Ayacucho"
"8","Birth_Area",6,7960.06846292056,-8.60516156379305,"Cajamarca"
"9","Birth_Area",7,11019.2004402393,26.5187665939171,"Cusco-Madre de Dios"
"10","Birth_Area",8,9798.91541417308,12.5078628783326,"Huancavelica"
"11","Birth_Area",9,7745.0472634541,-11.0739629160852,"Huánuco"
"12","Birth_Area",10,8680.09234712078,-0.338088626766464,"Ica"
"13","Birth_Area",11,7679.38432620921,-11.8278827559332,"Junin-Pasco"
"14","Birth_Area",12,8615.44408170357,-1.08035834473561,"La Libertad"
"15","Birth_Area",13,8687.3877945896,-0.25432474385039,"Lambayeque"
"16","Birth_Area",14,7852.97316061667,-9.83479393403402,"Lima"
"17","Birth_Area",15,11137.3940282564,27.8758257613533,"Callao"
"18","Birth_Area",16,7907.78640700189,-9.20544660858354,"Loreto"
"19","Birth_Area",17,10285.9709534711,18.1000713537951,"Moquegua-Tacna"
"20","Birth_Area",18,8016.94635835814,-7.95210862984865,"Piura-Tumbes"
"21","Birth_Area",19,8977.61226173946,3.07793532513693,"Puno"
"23","Mother_Edu",1,8169.12717955985,-6.20481944111764,"Years of Education"
"24","Mother_Edu",2,8204.02734467165,-5.80410744138442,"Years of Education"
"25","Mother_Edu",3,8018.92167493919,-7.92942870685219,"Years of Education"
"26","Mother_Edu",4,8054.32006350959,-7.52299627233684,"Years of Education"
"27","Mother_Edu",5,9153.75663406113,5.1003659769306,"Years of Education"
"28","Mother_Edu",6,9062.36406758858,4.05102715705257,"Years of Education"
"29","Mother_Edu",7,9791.46135000576,12.4222778116414,"Years of Education"
"30","Mother_Edu",8,10450.3616616555,19.9875503729653,"Years of Education"
"31","Mother_Edu",9,10187.0470057324,16.9642597382084,"Years of Education"
"32","Mother_Edu",10,11177.9284414487,28.3412283093425,"Years of Education"
"33","Mother_Edu",11,11059.5293475282,26.9818095919954,"Years of Education"
"34","Mother_Edu",12,11103.2442225491,27.4837291368339,"Years of Education"
"35","Mother_Edu",13,11302.7044015932,29.773864067596,"Years of Education"
"36","Mother_Edu",14,12073.7207650825,38.6264155627277,"Years of Education"
"37","Mother_Edu",15,12555.4174123895,44.157095036273,"Years of Education"
"39","Father_Edu",1,7518.86663609908,-13.6708930795386,"Years of Education"
"40","Father_Edu",2,7640.07794556743,-12.279185445728,"Years of Education"
"41","Father_Edu",3,7414.28246037136,-14.8716935359848,"Years of Education"
"42","Father_Edu",4,8102.82809811714,-6.96604327545414,"Years of Education"
"43","Father_Edu",5,8590.25119940218,-1.3696145764381,"Years of Education"
"44","Father_Edu",6,8380.80183199281,-3.77444202033698,"Years of Education"
"45","Father_Edu",7,8810.25503899401,1.15639577994313,"Years of Education"
"46","Father_Edu",8,9116.71095090645,4.6750198580558,"Years of Education"
"47","Father_Edu",9,9138.78114807171,4.92842246552962,"Years of Education"
"48","Father_Edu",10,9531.37300008659,9.43603054119008,"Years of Education"
"49","Father_Edu",11,10142.216275218,16.4495283145493,"Years of Education"
"50","Father_Edu",12,9569.65136648546,9.87552991596603,"Years of Education"
"51","Father_Edu",13,10248.4093889497,17.6688020579545,"Years of Education"
"52","Father_Edu",14,10890.463704196,25.0406545341675,"Years of Education"
"53","Father_Edu",15,11407.054305587,30.9719746945049,"Years of Education"
"54","Ethnicity",1,8995.91390769614,3.28806869058718,"White"
"55","Ethnicity",2,9343.44591649345,7.2783147473135,"Mix-race"
"56","Ethnicity",3,8146.12944787692,-6.46887168907901,"Indigenous"
"57","Ethnicity",4,8443.28853386857,-3.05699065054669,"Afro-descendant"
"58","Ethnicity",5,8163.71576471558,-6.26695149283398,"Other"
