"","var","cat","value","value2","class"
"1","Sex",1,20619.7803728302,0.862649515185581,"Male"
"2","Sex",2,20333.6301232733,-0.537068222243263,"Female"
"3","Birth_Area",1,20458.6962707268,0.0746988658989238,"Local"
"4","Birth_Area",2,20663.1242358691,1.07466811030575,"European Union"
"5","Birth_Area",3,20676.0204937339,1.1377507772182,"Other"
"6","Father_Occ",0,20130.9285389984,-1.52859279142982,"Dead/unknown/not working"
"7","Father_Occ",1,23445.5828766665,14.6851986592652,"Manager"
"8","Father_Occ",2,21670.374162541,6.00167967353114,"Professional"
"9","Father_Occ",3,22327.2949326096,9.2150392822483,"Technician"
"10","Father_Occ",4,20568.8590208526,0.613565267706406,"Clerical"
"11","Father_Occ",5,20333.5121506231,-0.53764529114784,"Service"
"12","Father_Occ",6,19190.1264575753,-6.13057151700184,"Agriculture"
"13","Father_Occ",7,20312.5084764393,-0.640385775741791,"Craft/Trades"
"14","Father_Occ",8,20684.9787000832,1.18157027533876,"Plant Operator"
"15","Father_Occ",9,19257.5085417862,-5.80096880443764,"Elementary"
"16","Mother_Occ",0,19873.8743391247,-2.78598579947736,"Dead/unknown/not working"
"17","Mother_Occ",1,23428.4179267034,14.6012354792136,"Manager"
"18","Mother_Occ",2,22656.229828697,10.8240401802937,"Professional"
"19","Mother_Occ",3,23194.6393180343,13.4576961473686,"Technician"
"20","Mother_Occ",4,22628.4903334636,10.6883511023853,"Clerical"
"21","Mother_Occ",5,20102.609837728,-1.66711508358402,"Service"
"22","Mother_Occ",6,18994.8699236506,-7.08567826356793,"Agriculture"
"23","Mother_Occ",7,20342.4266406274,-0.494039633635708,"Craft/Trades"
"24","Mother_Occ",8,20146.9406697067,-1.45026868232578,"Plant Operator"
"25","Mother_Occ",9,19517.3863315244,-4.52976407047832,"Elementary"
"26","Mother_Edu",0,20233.5418375536,-1.0266548958445,"Unknown"
"27","Mother_Edu",1,19849.5985007757,-2.90473223279555,"Low"
"28","Mother_Edu",2,20394.7963466433,-0.237870692570951,"Medium"
"29","Mother_Edu",3,21984.2296709128,7.53691901977676,"High"
"30","Father_Edu",0,20248.0466890857,-0.955703715477696,"Unknown"
"31","Father_Edu",1,19896.9268085749,-2.67322353409051,"Low"
"32","Father_Edu",2,20390.0230188347,-0.26121965560904,"Medium"
"33","Father_Edu",3,22752.8232142551,11.2965313813088,"High"
