"","var","cat","value","value2","class"
"1","Sex",1,19314.9977498647,-0.0687888889484185,"Male"
"2","Sex",2,19340.7698805409,0.0645499943761507,"Female"
"3","Birth_Area",1,19380.9574996116,0.272471191023996,"Local"
"4","Birth_Area",2,19582.7513533761,1.3165046650424,"European Union"
"5","Birth_Area",3,19067.1246453632,-1.35122546261383,"Other"
"6","Father_Occ",0,18184.000527294,-5.92029991050799,"Dead/unknown/not working"
"7","Father_Occ",1,22495.6564857127,16.3871840146186,"Manager"
"8","Father_Occ",2,23398.7873805933,21.0597687741928,"Professional"
"9","Father_Occ",3,20783.2501396222,7.52760027067164,"Technician"
"10","Father_Occ",4,22084.223797437,14.2585289993544,"Clerical"
"11","Father_Occ",5,20378.093533686,5.43141621488346,"Service"
"12","Father_Occ",6,18229.6935829294,-5.6838948925966,"Agriculture"
"13","Father_Occ",7,18239.0812337678,-5.63532541669422,"Craft/Trades"
"14","Father_Occ",8,18229.6971125051,-5.68387663141016,"Plant Operator"
"15","Father_Occ",9,18696.9931830823,-3.26619774348295,"Elementary"
"16","Mother_Occ",0,19413.5703492281,0.441202329498068,"Dead/unknown/not working"
"17","Mother_Occ",1,19957.0556105216,3.253065995516,"Manager"
"18","Mother_Occ",2,24765.8214864116,28.132478571712,"Professional"
"19","Mother_Occ",3,23043.1077451273,19.2195668130039,"Technician"
"20","Mother_Occ",4,23242.4313250346,20.2508196767674,"Clerical"
"21","Mother_Occ",5,18860.6530494744,-2.41946046343597,"Service"
"22","Mother_Occ",6,17692.3783788117,-8.46383614815484,"Agriculture"
"23","Mother_Occ",7,18867.4926078624,-2.38407421270819,"Craft/Trades"
"24","Mother_Occ",8,18471.6517169388,-4.43206097147217,"Plant Operator"
"25","Mother_Occ",9,19092.7637888206,-1.21857462357546,"Elementary"
"26","Mother_Edu",0,17666.7207275714,-8.59658274206676,"Unknown"
"27","Mother_Edu",1,16316.2288806556,-15.5837068207553,"None"
"28","Mother_Edu",2,19989.2361712956,3.41956057418656,"Low"
"29","Mother_Edu",3,24035.0025189177,24.351394800936,"Medium"
"30","Mother_Edu",4,24904.0201557705,28.847485665258,"High"
"31","Father_Edu",0,17874.2355700581,-7.52295023111509,"Unknown"
"32","Father_Edu",1,16410.3202092087,-15.0969006331943,"None"
"33","Father_Edu",2,19514.1451891602,0.961552665121928,"Low"
"34","Father_Edu",3,23041.1185116878,19.2092749916246,"Medium"
"35","Father_Edu",4,28468.765200136,47.2906299098935,"High"
