"","var","cat","value","value2","class"
"1","Sex",1,26224.0488381092,0.477607546648898,"Male"
"2","Sex",2,25983.1438184227,-0.445421546741954,"Female"
"3","Birth_Area",1,26499.0981583258,1.53146074160408,"Local"
"4","Birth_Area",3,23177.5740314528,-11.194979776295,"Other"
"5","Father_Occ",0,25051.9037732007,-4.01347361883711,"Dead/unknown/not working"
"6","Father_Occ",1,28324.3204312362,8.52481132430984,"Manager"
"7","Father_Occ",2,27305.5907730284,4.62154225150407,"Professional"
"8","Father_Occ",3,27454.8388188487,5.19338707484198,"Technician"
"9","Father_Occ",4,26229.269837864,0.497611839944881,"Clerical"
"10","Father_Occ",5,26570.9408088862,1.80672630767586,"Service"
"11","Father_Occ",6,26392.7730647339,1.12407547885356,"Agriculture"
"12","Father_Occ",7,25971.1831911633,-0.491248765078765,"Craft/Trades"
"13","Father_Occ",8,26083.9206849601,-0.0592943507381136,"Plant Operator"
"14","Father_Occ",9,25404.3132707081,-2.66321441954818,"Elementary"
"15","Father_Occ",10,28224.4366371393,8.14210594096132,"Armed forces"
"16","Mother_Occ",0,25418.4541020625,-2.60903373555144,"Dead/unknown/not working"
"17","Mother_Occ",1,27951.0775377581,7.09472883773468,"Manager"
"18","Mother_Occ",2,26383.9417504641,1.09023824285723,"Professional"
"19","Mother_Occ",3,27386.9018473544,4.93308614260039,"Technician"
"20","Mother_Occ",4,27761.7291197145,6.36923918679567,"Clerical"
"21","Mother_Occ",5,26586.3093177909,1.86561084590382,"Service"
"22","Mother_Occ",6,26887.1264441273,3.01819355156981,"Agriculture"
"23","Mother_Occ",7,26603.6490765137,1.93204824016972,"Craft/Trades"
"24","Mother_Occ",8,26121.561193997,0.08492549564086,"Plant Operator"
"25","Mother_Occ",9,24898.8521656411,-4.59989181282729,"Elementary"
"26","Mother_Occ",10,27130.4637122934,3.95054182026036,"Armed forces"
"27","Mother_Edu",0,24930.2351281284,-4.47964779528755,"Unknown"
"28","Mother_Edu",1,24355.8453269742,-6.68042591980445,"None"
"29","Mother_Edu",2,25486.1901474824,-2.34950265282333,"Low"
"30","Mother_Edu",3,27480.5504640516,5.29190140464769,"Medium"
"31","Mother_Edu",4,27410.0552711038,5.02179863086711,"High"
"32","Father_Edu",0,25101.2134021718,-3.8245434662653,"Unknown"
"33","Father_Edu",1,26581.46216389,1.84703894534141,"None"
"34","Father_Edu",2,25754.4449485163,-1.32168270071841,"Low"
"35","Father_Edu",3,27286.7381604901,4.54930834835849,"Medium"
"36","Father_Edu",4,28986.2965960422,11.0611771503204,"High"
