"","var","cat","value","value2","class"
"1","Sex",1,11580.8232013477,2.50710620266011,"Male"
"2","Sex",2,11056.6977888084,-2.13216497803056,"Female"
"3","Birth_Area",1,11308.3236057137,0.0950889821064749,"Local"
"4","Birth_Area",2,11396.7569786217,0.87785277971669,"European Union"
"5","Birth_Area",3,11394.1115810585,0.854437168905108,"Other"
"6","Father_Occ",0,11166.8125360658,-1.15748952574656,"Dead/unknown/not working"
"7","Father_Occ",1,12114.4895352505,7.23082839537885,"Manager"
"8","Father_Occ",2,12317.2115929945,9.02521305538887,"Professional"
"9","Father_Occ",3,12112.0414890045,7.20915963037213,"Technician"
"10","Father_Occ",4,11385.9260928796,0.781983709294153,"Clerical"
"11","Father_Occ",5,11956.8536155565,5.83552154365634,"Service"
"12","Father_Occ",6,10870.7775067745,-3.77782951882524,"Agriculture"
"13","Father_Occ",7,11222.4135288091,-0.665339980845985,"Craft/Trades"
"14","Father_Occ",8,11118.9578375244,-1.58107311565112,"Plant Operator"
"15","Father_Occ",9,10639.6841326828,-5.82334153717638,"Elementary"
"16","Mother_Occ",0,10961.7327323734,-2.97274366196942,"Dead/unknown/not working"
"17","Mother_Occ",1,12370.5011540388,9.49690307245272,"Manager"
"18","Mother_Occ",2,12232.5324486559,8.27567963354544,"Professional"
"19","Mother_Occ",3,12909.1066538569,14.2643440575429,"Technician"
"20","Mother_Occ",4,11970.2851121177,5.95440979715245,"Clerical"
"21","Mother_Occ",5,10837.0639714586,-4.07624327448107,"Service"
"22","Mother_Occ",6,10596.4685682393,-6.20586205208204,"Agriculture"
"23","Mother_Occ",7,11224.9790140898,-0.642631709805286,"Craft/Trades"
"24","Mother_Occ",8,11077.7231125571,-1.9460603240707,"Plant Operator"
"25","Mother_Occ",9,10775.5271523117,-4.62093350469956,"Elementary"
"26","Mother_Edu",0,11603.538044214,2.70816555479628,"Unknown"
"27","Mother_Edu",2,11376.8909633985,0.702009690075883,"Primary"
"28","Mother_Edu",3,11291.5259894034,-0.0535943203786218,"Lower Secondary"
"29","Mother_Edu",4,11205.971030178,-0.810879976070765,"Upper Secondary"
"30","Mother_Edu",5,12728.4573509079,12.6653353376211,"Post Secondary"
"31","Mother_Edu",6,12306.4071015533,8.92957761286631,"Tertiary"
"32","Father_Edu",0,11190.1869434826,-0.950592069336309,"Unknown"
"33","Father_Edu",2,10629.9448517563,-5.90954831944983,"Primary"
"34","Father_Edu",3,11371.9003765845,0.657835748063178,"Lower Secondary"
"35","Father_Edu",4,11117.8858352988,-1.5905618924052,"Upper Secondary"
"36","Father_Edu",5,13347.3082830226,18.1430649531213,"Post Secondary"
"37","Father_Edu",6,12495.2189749268,10.6008369369847,"Tertiary"
