"","var","cat","value","value2","class"
"1","Sex",0,1198.78693928228,-1.97118205275301,"Female"
"2","Sex",1,1219.48229781634,-0.278853359797566,"Male"
"3","Ethnicity",1,1592.86416775468,30.2538311011309,"Tetum"
"4","Ethnicity",2,1089.42622576139,-10.9139734071028,"Baequeno"
"5","Ethnicity",3,1237.55988274914,1.19941122937533,"Bunak"
"6","Ethnicity",4,1327.36687608765,8.54322947754611,"Fatalucu"
"7","Ethnicity",5,1204.37038002187,-1.51460542696174,"Galolen"
"8","Ethnicity",7,1123.20655593126,-8.15164281447674,"Kaklun bikeli"
"9","Ethnicity",8,1143.3190657348,-6.50697561183426,"Kemak"
"10","Ethnicity",9,1053.4295415327,-13.8575426847855,"Laklei"
"11","Ethnicity",10,974.583797287588,-20.3050229293956,"Macalero"
"12","Ethnicity",11,1193.35273178733,-2.41555537694794,"Macasae"
"13","Ethnicity",12,1562.08078127593,27.7365706188544,"Mangilih"
"14","Ethnicity",13,1128.04416917889,-7.75605499748292,"Mambae"
"15","Ethnicity",14,1158.17580687152,-5.29209019353601,"Midiki"
"16","Ethnicity",15,1347.58776032541,10.196758820185,"Naueti"
"17","Ethnicity",16,912.797543706879,-25.3574915586685,"Sa ani"
"18","Ethnicity",17,1040.68137396379,-14.9000029893012,"Tetum terik"
"19","Ethnicity",18,1248.07918070585,2.0596094101696,"Tokodete"
"20","Ethnicity",19,1285.62960932202,5.13023356366611,"Uaimua"
"21","Ethnicity",21,1436.12180700938,17.4364839624296,"Bahasa Indonesia"
"22","Ethnicity",22,2142.05034848471,75.1626221179563,"Portuguese"
"23","Ethnicity",23,5159.22127420612,321.886781100159,"Inggris"
"24","Ethnicity",24,953.646517980711,-22.0171342931659,"Other"
"25","Mother_Edu",1,1201.49013434294,-1.75013275050144,"Never attended school"
"26","Mother_Edu",2,1528.88319948116,25.0218933101437,"Primary"
"27","Mother_Edu",3,1073.08596611741,-12.250171096084,"Pre-secondary"
"28","Mother_Edu",4,1499.54018650713,22.6224169873721,"Secondary"
"29","Mother_Edu",6,629.67706536449,-48.5092001059604,"University"
"30","Father_Edu",1,1192.75921600512,-2.46408914775965,"Never attended school"
"31","Father_Edu",2,1501.01550286048,22.7430585404944,"Primary"
"32","Father_Edu",3,1235.15933974885,1.00311079846539,"Pre-secondary"
"33","Father_Edu",4,1214.7196420863,-0.668311649845805,"Secondary"
"34","Father_Edu",5,1211.66487327396,-0.91811031378117,"Academy"
"35","Father_Edu",6,5023.57652042796,310.794655854301,"University"
"36","Birth_Area",1,1120.9308392668,-8.3377357783633,"Urban"
"37","Birth_Area",2,1378.54435659923,12.7281832467885,"Rural"
"38","Birth_Area",3,1251.94929681811,2.37608175014267,"Mixed"
