"","var","cat","value","value2","class"
"1","Sex",1,2229.43244151624,0.550488659072855,"Male"
"2","Sex",2,2210.60325583807,-0.298733674708842,"Female"
"3","Ethnicity",1,2128.05209415414,-4.02190531791302,"Armenian"
"4","Ethnicity",2,2149.27609567801,-3.0646734750526,"Azeri"
"5","Ethnicity",3,2344.72914644147,5.75052962247058,"Bayid"
"6","Ethnicity",4,2457.32305845243,10.8286708847549,"Buryat"
"7","Ethnicity",5,2215.35930641926,-0.084229211096968,"Dungan"
"8","Ethnicity",6,2160.87980987386,-2.54132990521543,"Dorbet"
"9","Ethnicity",7,1871.12485796144,-15.6096792589036,"Georgian"
"10","Ethnicity",8,2022.65720379063,-8.77536074041201,"Karakalpak"
"11","Ethnicity",9,1915.38333719661,-13.6135605914202,"Kazakh"
"12","Ethnicity",10,1547.02844303678,-30.2268761232162,"Khalkh"
"13","Ethnicity",12,2293.42670518126,3.43671851877588,"Lezgian"
"14","Ethnicity",13,2408.96638685606,8.6477180698605,"Ossetian"
"15","Ethnicity",14,2018.49072513311,-8.96327469429541,"Other"
"16","Ethnicity",15,2319.46992637515,4.61130383858107,"Russian"
"17","Ethnicity",16,2232.84013043876,0.704180145738633,"Tajik"
"18","Father_Occ",1,2328.03409546543,4.99755971740947,"Managers"
"19","Father_Occ",2,1934.72832218686,-12.7410749947951,"Professionals"
"20","Father_Occ",3,2334.82836450994,5.30399065462242,"Technicians and Professionals"
"21","Father_Occ",4,2258.26602712541,1.85092327588656,"Clerical Support"
"22","Father_Occ",5,2366.86959099878,6.74909431450192,"Service and sales"
"23","Father_Occ",6,2402.72245587565,8.36610814100949,"Farm, Forest, Fishery"
"24","Mother_Occ",1,2223.0039866636,0.260556448202124,"Managers"
"25","Mother_Occ",2,2184.87527297438,-1.45910130953001,"Professionals"
"26","Mother_Occ",3,2485.92842789319,12.118812636521,"Technicians and Professionals"
"27","Mother_Occ",4,2479.41710284227,11.8251428650149,"Clerical Support"
"28","Mother_Occ",5,2249.74891086958,1.46678954501289,"Service and sales"
"29","Mother_Occ",6,2265.45627538829,2.17521342388517,"Farm, Forest, Fishery"
"30","Mother_Edu",1,1851.22365914498,-16.507250868894,"No degree/No education"
"31","Mother_Edu",2,2369.02505965841,6.8463089342316,"Primary education"
"32","Mother_Edu",3,2218.52545638913,0.058568534512915,"Lower secondary education"
"33","Mother_Edu",4,2142.03566151694,-3.39122707651727,"(Upper) secondary education"
"34","Mother_Edu",5,2587.49353552792,16.6995395575114,"Post-secondary non-tertiary education"
"35","Mother_Edu",6,3062.47517392723,38.1218688265056,"Tertiary education (not a university diploma)"
"36","Mother_Edu",7,2988.39640099715,34.780813641932,"Bachelor's degree or more"
"37","Mother_Edu",8,3011.65706899537,35.8299019615435,"Master's degree or PhD"
"40","Father_Edu",1,2003.51111192108,-9.63887598202456,"No degree/No education"
"41","Father_Edu",2,2294.7319672315,3.49558764373162,"Primary education"
"42","Father_Edu",3,2622.53473807603,18.2799462896471,"Lower secondary education"
"43","Father_Edu",4,2050.22157939242,-7.53216925152449,"(Upper) secondary education"
"44","Father_Edu",5,2688.56758305166,21.2581189878668,"Post-secondary non-tertiary education"
"45","Father_Edu",6,2281.97015054964,2.9200120489556,"Tertiary education (not a university diploma)"
"46","Father_Edu",7,3076.25977708819,38.7435735070306,"Bachelor's degree or more"
"47","Father_Edu",8,3068.87158788096,38.4103559484906,"Master's degree or PhD"
