"","var","cat","value","value2","class"
"1","Sex",0,2943.38084125231,-3.3460603883735,"Female"
"2","Sex",1,3136.37074047542,2.99128943864675,"Male"
"3","Ethnicity",1,3058.18596953639,0.423879192925668,"Muslim"
"4","Ethnicity",2,2995.15021831293,-1.64607166315629,"Catholic"
"5","Ethnicity",3,3667.00351029325,20.4160640281629,"Lutherans"
"6","Ethnicity",4,2745.64953463715,-9.83910726190629,"Other protestants"
"7","Ethnicity",5,3109.28773947527,2.10194521703514,"Other christians"
"8","Ethnicity",6,3684.36570867449,20.9861991769506,"Traditionalist"
"9","Ethnicity",7,3141.8802555677,3.17220939693229,"Agnostic/athiest"
"10","Mother_Edu",1,2855.65745030671,-6.22669724383897,"No school"
"11","Mother_Edu",2,3074.40327314613,0.956418598561058,"Some primary"
"12","Mother_Edu",3,3426.50658521913,12.5186914057994,"Completed primary"
"13","Mother_Edu",4,3973.74814402607,30.4888608913744,"Some secondary"
"14","Mother_Edu",5,5393.68738910849,77.1164396684322,"Completed secondary"
"15","Mother_Edu",6,5234.02324291261,71.8734318563707,"More than secondary"
"16","Father_Edu",1,2922.85344146499,-4.02013356015608,"No school"
"17","Father_Edu",2,3030.31723727845,-0.491266658049483,"Some primary"
"18","Father_Edu",3,3204.02315037141,5.21284087671528,"Completed primary"
"19","Father_Edu",4,3628.65249081674,19.156703680166,"Some secondary"
"20","Father_Edu",5,3893.26684541232,27.8460378944124,"Completed secondary"
"21","Father_Edu",6,4910.76560632135,61.2583854960106,"More than secondary"
"22","Birth_Area",1,2698.59822503928,-11.3841653708614,"Dodoma"
"23","Birth_Area",2,3535.17184378029,16.087011614877,"Arusha"
"24","Birth_Area",3,4219.00897907476,38.5426694939362,"Kilimanjaro"
"25","Birth_Area",4,3352.51402677081,10.0889438937749,"Tanga"
"26","Birth_Area",5,3010.47657988233,-1.14278876994958,"Morogoro"
"27","Birth_Area",6,3955.58899964303,29.8925558465094,"Pwani"
"28","Birth_Area",7,4963.39738019207,62.9866933731486,"Dar es Salaam"
"29","Birth_Area",8,2657.88731882291,-12.7210190378499,"Lindi"
"30","Birth_Area",9,2785.15577839598,-8.54181197309013,"Mtwara"
"31","Birth_Area",10,2306.22223336863,-24.2689014785583,"Ruvuma"
"32","Birth_Area",11,3203.02423262225,5.18003868732455,"Iringa"
"33","Birth_Area",12,2664.55893683391,-12.5019382599534,"Mbeya"
"34","Birth_Area",13,3166.54532658057,3.98215429117856,"Singida"
"35","Birth_Area",14,2918.94379301565,-4.14851753270523,"Tabora"
"36","Birth_Area",15,2354.23237706434,-22.6923574362535,"Rukwa"
"37","Birth_Area",16,2238.61465233035,-26.4889808387888,"Kigoma"
"38","Birth_Area",17,3018.71793358944,-0.87216143815445,"Shinyanga"
"39","Birth_Area",18,3208.81844412047,5.3703074287652,"Kagera"
"40","Birth_Area",19,2797.92934762831,-8.12235698041542,"Mwanza"
"41","Birth_Area",20,3030.78904284956,-0.475773635012885,"Mara"
"42","Birth_Area",21,2858.67814764021,-6.12750440628132,"Manyara"
"43","Birth_Area",22,2958.91644015096,-2.83590661665076,"Unguja(North, South, West)"
"44","Birth_Area",23,2536.91389417915,-16.693511457538,"Pemba(North, South)"
