"","var","cat","value","value2","class"
"1","Sex",0,42364.9744719071,-1.63967555401486,"Female"
"2","Sex",1,44023.0564201422,2.20995448635212,"Male"
"3","Ethnicity",1,45844.3974112673,6.43862907065137,"White"
"4","Ethnicity",2,33143.5240068363,-23.0494573587556,"Black"
"5","Ethnicity",3,40165.5883165468,-6.74607154551262,"Am. Indian, Aleut, Eskimo"
"6","Ethnicity",4,47245.13754847,9.69077913275362,"Asian, Pac. Islander"
"7","Ethnicity",5,40024.0361369275,-7.0747184640329,"Hispanic"
"8","Ethnicity",7,40391.9360964414,-6.22055155298128,"Other"
"10","Mother_Edu",1,41582.7512087931,-3.45579216704645,"0-5 Grades"
"11","Mother_Edu",2,42043.3705716931,-2.38635519592326,"6-8 Grades"
"12","Mother_Edu",3,38700.6539149573,-10.1472637999297,"9-11 Grades"
"13","Mother_Edu",4,42096.315194431,-2.26343171172242,"High school"
"14","Mother_Edu",5,45559.5414569053,5.77726849058064,"12 Grades + non academic training"
"15","Mother_Edu",6,49066.7898768179,13.9201765601709,"Some College"
"16","Mother_Edu",7,48744.7067544133,13.1723842904197,"College degree"
"17","Mother_Edu",8,56377.0375567107,30.892648337572,"Advanced College degree"
"19","Father_Edu",1,39157.9571718426,-9.08552595450089,"0-5 Grades"
"20","Father_Edu",2,39289.6449487217,-8.7797815838066,"6-8 Grades"
"21","Father_Edu",3,40182.852616981,-6.70598838216344,"9-11 Grades"
"22","Father_Edu",4,43490.9913960069,0.974639487283412,"High school"
"23","Father_Edu",5,42730.9948837061,-0.789872458245753,"12 Grades + non academic training"
"24","Father_Edu",6,44523.6500380008,3.37220116021271,"Some College"
"25","Father_Edu",7,50965.4360789902,18.3283335054238,"College degree"
"26","Father_Edu",8,56847.7417745819,31.9854996886004,"Advanced College degree"
"27","Mother_Occ",1,41123.0084163913,-4.52319397209963,"Low"
"28","Mother_Occ",2,39578.2956196708,-8.10961067021539,"Middle"
"29","Mother_Occ",3,48816.4440796029,13.3389394853299,"High"
"30","Father_Occ",1,42207.971769545,-2.00419452129222,"Low"
"31","Father_Occ",2,41389.1827166112,-3.90520727778043,"Middle"
"32","Father_Occ",3,49306.9413509311,14.4777450989085,"High"
